50/20000, perceptual loss = 0.0384, discriminator loss = 1.9674
100/20000, perceptual loss = 0.0380, discriminator loss = 1.3474
150/20000, perceptual loss = 0.0356, discriminator loss = 1.3602
200/20000, perceptual loss = 0.0339, discriminator loss = 1.1879
250/20000, perceptual loss = 0.0312, discriminator loss = 0.9071
300/20000, perceptual loss = 0.0374, discriminator loss = 0.9048
350/20000, perceptual loss = 0.0373, discriminator loss = 0.3727
400/20000, perceptual loss = 0.0389, discriminator loss = 0.3240
450/20000, perceptual loss = 0.0448, discriminator loss = 0.4179
500/20000, perceptual loss = 0.0391, discriminator loss = 0.7590
550/20000, perceptual loss = 0.0403, discriminator loss = 0.4351
600/20000, perceptual loss = 0.0427, discriminator loss = 0.2037
650/20000, perceptual loss = 0.0381, discriminator loss = 0.5788
700/20000, perceptual loss = 0.0384, discriminator loss = 0.4309
750/20000, perceptual loss = 0.0393, discriminator loss = 0.3914
800/20000, perceptual loss = 0.0407, discriminator loss = 0.6500
850/20000, perceptual loss = 0.0359, discriminator loss = 0.7470
900/20000, perceptual loss = 0.0411, discriminator loss = 0.2274
950/20000, perceptual loss = 0.0406, discriminator loss = 0.6207
1000/20000, perceptual loss = 0.0393, discriminator loss = 0.4735
1050/20000, perceptual loss = 0.0396, discriminator loss = 0.3537
1100/20000, perceptual loss = 0.0387, discriminator loss = 0.5437
1150/20000, perceptual loss = 0.0364, discriminator loss = 0.8138
1200/20000, perceptual loss = 0.0364, discriminator loss = 0.3324
1250/20000, perceptual loss = 0.0402, discriminator loss = 0.5816
1300/20000, perceptual loss = 0.0388, discriminator loss = 0.8194
1350/20000, perceptual loss = 0.0401, discriminator loss = 0.6644
1400/20000, perceptual loss = 0.0365, discriminator loss = 0.6596
1450/20000, perceptual loss = 0.0389, discriminator loss = 0.6572
1500/20000, perceptual loss = 0.0418, discriminator loss = 0.6633
1550/20000, perceptual loss = 0.0403, discriminator loss = 0.5263
1600/20000, perceptual loss = 0.0378, discriminator loss = 0.7736
1650/20000, perceptual loss = 0.0387, discriminator loss = 0.5601
1700/20000, perceptual loss = 0.0388, discriminator loss = 0.6414
1750/20000, perceptual loss = 0.0356, discriminator loss = 0.6273
1800/20000, perceptual loss = 0.0364, discriminator loss = 0.4775
1850/20000, perceptual loss = 0.0405, discriminator loss = 0.5245
1900/20000, perceptual loss = 0.0397, discriminator loss = 0.7663
1950/20000, perceptual loss = 0.0359, discriminator loss = 0.8789
2000/20000, perceptual loss = 0.0363, discriminator loss = 0.7506
2050/20000, perceptual loss = 0.0366, discriminator loss = 0.6459
2100/20000, perceptual loss = 0.0395, discriminator loss = 0.7498
2150/20000, perceptual loss = 0.0391, discriminator loss = 0.5551
2200/20000, perceptual loss = 0.0355, discriminator loss = 0.5165
2250/20000, perceptual loss = 0.0387, discriminator loss = 0.8054
2300/20000, perceptual loss = 0.0353, discriminator loss = 0.5605
2350/20000, perceptual loss = 0.0376, discriminator loss = 0.6658
2400/20000, perceptual loss = 0.0337, discriminator loss = 0.6533
2450/20000, perceptual loss = 0.0361, discriminator loss = 0.7138
2500/20000, perceptual loss = 0.0359, discriminator loss = 0.6563
2550/20000, perceptual loss = 0.0368, discriminator loss = 0.6010
2600/20000, perceptual loss = 0.0362, discriminator loss = 0.9625
2650/20000, perceptual loss = 0.0350, discriminator loss = 0.6116
2700/20000, perceptual loss = 0.0320, discriminator loss = 0.6329
2750/20000, perceptual loss = 0.0357, discriminator loss = 0.8299
2800/20000, perceptual loss = 0.0335, discriminator loss = 0.6450
2850/20000, perceptual loss = 0.0337, discriminator loss = 0.7248
2900/20000, perceptual loss = 0.0321, discriminator loss = 0.7508
2950/20000, perceptual loss = 0.0349, discriminator loss = 0.7158
3000/20000, perceptual loss = 0.0324, discriminator loss = 0.5974
3050/20000, perceptual loss = 0.0334, discriminator loss = 0.6606
3100/20000, perceptual loss = 0.0346, discriminator loss = 0.7333
3150/20000, perceptual loss = 0.0338, discriminator loss = 0.8407
3200/20000, perceptual loss = 0.0324, discriminator loss = 0.4588
3250/20000, perceptual loss = 0.0355, discriminator loss = 0.8840
3300/20000, perceptual loss = 0.0320, discriminator loss = 0.8251
3350/20000, perceptual loss = 0.0341, discriminator loss = 0.5450
3400/20000, perceptual loss = 0.0330, discriminator loss = 0.5798
3450/20000, perceptual loss = 0.0332, discriminator loss = 0.7005
3500/20000, perceptual loss = 0.0371, discriminator loss = 0.5587
3550/20000, perceptual loss = 0.0334, discriminator loss = 0.5155
3600/20000, perceptual loss = 0.0325, discriminator loss = 0.7123
3650/20000, perceptual loss = 0.0331, discriminator loss = 0.9065
3700/20000, perceptual loss = 0.0301, discriminator loss = 0.7194
3750/20000, perceptual loss = 0.0343, discriminator loss = 0.4927
3800/20000, perceptual loss = 0.0340, discriminator loss = 1.0145
3850/20000, perceptual loss = 0.0327, discriminator loss = 0.5311
3900/20000, perceptual loss = 0.0352, discriminator loss = 0.5607
3950/20000, perceptual loss = 0.0326, discriminator loss = 0.6018
4000/20000, perceptual loss = 0.0299, discriminator loss = 0.7171
4050/20000, perceptual loss = 0.0315, discriminator loss = 0.5660
4100/20000, perceptual loss = 0.0319, discriminator loss = 0.5508
4150/20000, perceptual loss = 0.0346, discriminator loss = 0.6120
4200/20000, perceptual loss = 0.0333, discriminator loss = 0.7015
4250/20000, perceptual loss = 0.0307, discriminator loss = 0.6430
4300/20000, perceptual loss = 0.0310, discriminator loss = 0.6864
4350/20000, perceptual loss = 0.0313, discriminator loss = 0.6356
4400/20000, perceptual loss = 0.0310, discriminator loss = 0.6642
4450/20000, perceptual loss = 0.0330, discriminator loss = 0.8286
4500/20000, perceptual loss = 0.0292, discriminator loss = 0.4325
4550/20000, perceptual loss = 0.0302, discriminator loss = 0.5091
4600/20000, perceptual loss = 0.0307, discriminator loss = 0.8286
4650/20000, perceptual loss = 0.0314, discriminator loss = 0.5838
4700/20000, perceptual loss = 0.0306, discriminator loss = 0.4518
4750/20000, perceptual loss = 0.0331, discriminator loss = 0.5815
4800/20000, perceptual loss = 0.0324, discriminator loss = 0.7389
4850/20000, perceptual loss = 0.0313, discriminator loss = 0.8034
4900/20000, perceptual loss = 0.0295, discriminator loss = 0.5557
4950/20000, perceptual loss = 0.0318, discriminator loss = 0.6971
5000/20000, perceptual loss = 0.0299, discriminator loss = 0.9142
5050/20000, perceptual loss = 0.0295, discriminator loss = 0.4977
5100/20000, perceptual loss = 0.0301, discriminator loss = 0.6403
5150/20000, perceptual loss = 0.0309, discriminator loss = 0.5660
5200/20000, perceptual loss = 0.0301, discriminator loss = 0.7710
5250/20000, perceptual loss = 0.0302, discriminator loss = 0.9176
5300/20000, perceptual loss = 0.0290, discriminator loss = 0.5243
5350/20000, perceptual loss = 0.0299, discriminator loss = 0.5436
5400/20000, perceptual loss = 0.0300, discriminator loss = 0.7336
5450/20000, perceptual loss = 0.0324, discriminator loss = 0.3717
5500/20000, perceptual loss = 0.0309, discriminator loss = 0.9204
5550/20000, perceptual loss = 0.0310, discriminator loss = 0.8603
5600/20000, perceptual loss = 0.0285, discriminator loss = 0.5551
5650/20000, perceptual loss = 0.0296, discriminator loss = 0.5853
5700/20000, perceptual loss = 0.0305, discriminator loss = 0.5808
5750/20000, perceptual loss = 0.0312, discriminator loss = 0.6963
5800/20000, perceptual loss = 0.0321, discriminator loss = 0.7274
5850/20000, perceptual loss = 0.0301, discriminator loss = 0.8286
5900/20000, perceptual loss = 0.0300, discriminator loss = 0.5164
5950/20000, perceptual loss = 0.0300, discriminator loss = 1.0080
6000/20000, perceptual loss = 0.0293, discriminator loss = 0.5117
6050/20000, perceptual loss = 0.0289, discriminator loss = 0.5830
6100/20000, perceptual loss = 0.0291, discriminator loss = 0.6640
6150/20000, perceptual loss = 0.0287, discriminator loss = 0.7037
6200/20000, perceptual loss = 0.0293, discriminator loss = 0.6110
6250/20000, perceptual loss = 0.0321, discriminator loss = 0.7915
6300/20000, perceptual loss = 0.0338, discriminator loss = 0.6648
6350/20000, perceptual loss = 0.0301, discriminator loss = 0.4825
6400/20000, perceptual loss = 0.0306, discriminator loss = 0.6683
6450/20000, perceptual loss = 0.0289, discriminator loss = 0.6156
6500/20000, perceptual loss = 0.0284, discriminator loss = 0.5590
6550/20000, perceptual loss = 0.0301, discriminator loss = 0.7412
6600/20000, perceptual loss = 0.0304, discriminator loss = 0.6023
6650/20000, perceptual loss = 0.0308, discriminator loss = 0.6053
6700/20000, perceptual loss = 0.0298, discriminator loss = 0.6076
6750/20000, perceptual loss = 0.0294, discriminator loss = 0.6919
6800/20000, perceptual loss = 0.0296, discriminator loss = 0.5705
6850/20000, perceptual loss = 0.0300, discriminator loss = 0.7131
6900/20000, perceptual loss = 0.0303, discriminator loss = 0.5439
6950/20000, perceptual loss = 0.0311, discriminator loss = 0.7152
7000/20000, perceptual loss = 0.0295, discriminator loss = 0.7260
7050/20000, perceptual loss = 0.0274, discriminator loss = 0.6385
7100/20000, perceptual loss = 0.0292, discriminator loss = 0.7783
7150/20000, perceptual loss = 0.0300, discriminator loss = 0.7542
7200/20000, perceptual loss = 0.0283, discriminator loss = 0.5867
7250/20000, perceptual loss = 0.0290, discriminator loss = 0.7414
7300/20000, perceptual loss = 0.0308, discriminator loss = 0.6818
7350/20000, perceptual loss = 0.0284, discriminator loss = 0.8355
7400/20000, perceptual loss = 0.0269, discriminator loss = 0.6859
7450/20000, perceptual loss = 0.0286, discriminator loss = 0.8178
7500/20000, perceptual loss = 0.0263, discriminator loss = 0.3730
7550/20000, perceptual loss = 0.0283, discriminator loss = 0.8229
7600/20000, perceptual loss = 0.0275, discriminator loss = 0.5236
7650/20000, perceptual loss = 0.0282, discriminator loss = 0.7225
7700/20000, perceptual loss = 0.0283, discriminator loss = 0.5449
7750/20000, perceptual loss = 0.0284, discriminator loss = 0.5722
